,Title,Subtitle,Composer,Orig. composer,Source,Document,Volume,Date,Page,Editor,Encoder,Arranger,Intabulator,Contributor,Concordances,Piece,Section,Type,Key,Difficulty,Ensemble,Part,Remarks,Recording,Facsimile,Fronimo,PDF,Midi,Created,Modified,song_text,text_length
28,To plead my faith,,Daniel Bacheler,,Robert Dowland,A Musicall Banquet,,1610,f.d2v,Sarge Gerbode,Sarge Gerbode,,,,,To plead my faith,,lute song,Cm,3.0,"soprano, 6-course",score,,,https://lutemusic.org/facsimiles/DowlandR/A_Musicall_Banquet_1610/d2v.png,https://lutemusic.org/composers/Bacheler/songs/to_plead_my_faith/to_plead_my_faith.ft3,https://lutemusic.org/composers/Bacheler/songs/to_plead_my_faith/pdf/to_plead_my_faith.pdf,https://lutemusic.org/composers/Bacheler/songs/to_plead_my_faith/midi/to_plead_my_faith.mid,1573937407,1586042062,"to plead my faith where faith hath no reward; to move remorse, where favour is not borne; i loved her whom all the world admir'd. i was refus'd of her that can love none: forget my name, since you have scorn'd my love, i none accuse, nor nothing do repent. not more than i now despair. to heap complaints where she doth not regard, were fruitless, bootless, vain, and yield but scorn. and my vain hopes, which far too high aspir'd is dead and buried and forever gone. since for your sake i do all mischief prove. fond as ever she was fair, yet lov'd i",551
30,Who doth behold my Mistress' face,,John Bartlet,,John Bartlet,A book of ayres,,1606,#4,Sarge Gerbode,Sarge Gerbode,,,,,Who doth behold my Mistress' face,,lute song,GM,2.0,"soprano, 6-course",score,,,,https://lutemusic.org/composers/Bartlet/songs/04_who_doth_behold/04_who_doth_behold.ft3,https://lutemusic.org/composers/Bartlet/songs/04_who_doth_behold/pdf/04_who_doth_behold.pdf,https://lutemusic.org/composers/Bartlet/songs/04_who_doth_behold/midi/04_who_doth_behold.mid,1573937408,1586042062,"who doth behold my mistress' face and seeeth not, good hap hath he. who hears her speak and marks her grace, shall think none ever spake but she. in short for to resound her praise, she is the fairest, the who knows her wit, and not admires, shall show himself devoid of skill. her virtues kindle strange desires in those that think upon her still. her red is like unto the rose when from a bud unto the sun her tender leaves she doth disclose, the first degree of ripeness won. and with her red mixed is a white like to that same of fair moonshine that doth upon the water light and makes the colour fairest, the fairest, the fairest of her days.",647
32,Of all the birds,,John Bartlet,,John Bartlet,A book of ayres,,1606,#10,Sarge Gerbode,Sarge Gerbode,,,,,Of all the birds,,lute song,GM,2.0,"soprano, 6-course",score,,,,https://lutemusic.org/composers/Bartlet/songs/10_of_all_the_birds/10_of_all_the_birds.ft3,https://lutemusic.org/composers/Bartlet/songs/10_of_all_the_birds/pdf/10_of_all_the_birds.pdf,https://lutemusic.org/composers/Bartlet/songs/10_of_all_the_birds/midi/10_of_all_the_birds.mid,1573937408,1586042062,"of all the birds that i do know, philip my sparrow hath no peer, for sit she high or sit she low, be she far off or be she near, there is no bird so fair, so fine, nor yet so fresh as this of mine, for when she once hath felt a fitte, philip will cry still come in a morning merrily, when philip hath been lately fed, or in an ev'ning soberly, when philip list to go to bed, it is a heav'n to hear my phippe, how she can chirp with merry lip, she never wanders far abroad; but is at home when i do call, if i command, she lays on load, with lips, with teeth, with tongue and all, she chants, she chirps, she makes such cheer, that i believe she hath no peer, and yet besides all this good sport, my philip can both sing and dance, with newfound toys of sundry sort my philip can both prick and prance. and if you say but fend cut, phippe, lord, how the peate will turn and skip, and to tell truth he were to blame, having so fine a bird as she, to make him all this goodly game, without suspect or jealousy, he were a churl, and knew no good, would see her faint for lack of food.",1080
34,Whither runneth my sweetheart?,,John Bartlet,,John Bartlet,A book of ayres,,1606,#17,Sarge Gerbode,Sarge Gerbode,,,,,Whither runneth my sweetheart?,,lute song,GM,2.0,"soprano, 8-course",score,,,,https://lutemusic.org/composers/Bartlet/songs/17_whither_runneth_my_sweetheart/17_whither_runneth_my_sweetheart.ft3,https://lutemusic.org/composers/Bartlet/songs/17_whither_runneth_my_sweetheart/pdf/17_whither_runneth_my_sweetheart.pdf,https://lutemusic.org/composers/Bartlet/songs/17_whither_runneth_my_sweetheart/midi/17_whither_runneth_my_sweetheart.mid,1573937408,1586042062,"whither runneth my sweetheart? whither runneth my sweetstay, stay, stay, stay, and take me with thee. merrily, merrily, merrily i'll play my part. stay, stay, and thou shalt see me, and thou shalt see me, and thou shalt ketcht, have i ketcht thee? hay dingadingading, hay dingadingading, hay ketcht thee? have i ketcht, have i ketcht thee? hay dingadingading, hay heart? a a a a a a f e f a a see me, and thou shalt see me. oh! oh! have i ketcht, have i ketcht thee? have i this ketching is a pretty thing. oh! oh! have i ketcht, have i a pretty thing, this ketching is a pretty thing.",585
44,No more the dear lovely nymph,Words by Peter Anthony Motteux,John Blow,,John Blow,Source unknown,,1680,%2,Sarge Gerbode,Sarge Gerbode,,,,,No more the dear lovely nymph,,lute song,Em,4.0,"bass viol, archlute, soprano",score,,,,https://lutemusic.org/composers/Blow/no_more_the_dear_lovely_nymph/no_more_the_dear_lovely_nymph_S.ft3,https://lutemusic.org/composers/Blow/no_more_the_dear_lovely_nymph/pdf/no_more_the_dear_lovely_nymph_S.pdf,https://lutemusic.org/composers/Blow/no_more_the_dear_lovely_nymph/midi/no_more_the_dear_lovely_nymph_S.mid,1573937408,1586042063,"no more, no more the dear, no more, no the lovely, lovely, lovely, lovely nymph's no more, no more; death never, never, never will the beauteous prize restore; death never, never, never will the beauteous prize restore. too feeble grief, too weak, too slow despair, can you, can you, can you want helps to end the pains i bear? ah me! ah me! while i my celia's loss bemoan, a thousand, thousand, thousand deaths, a thousand, thousand, thousand deaths i die instead of one; tho' dead to joy, in pain i languish, i languish, languish still; grief stabs my heart, grief stabs my heart, yet has no pow'r to",602
49,O turn not those fine eyes away,,John Blow,,John Blow,Source unknown,,1680,f.dd2v,Sarge Gerbode,Sarge Gerbode,,,,,O turn not those fine eyes away,,lute song,Am,4.0,"bass viol, archlute, soprano",score,,,,https://lutemusic.org/composers/Blow/o_turn_not_those_fine_eyes_away/o_turn_not_those_fine_eyes_away_S.ft3,https://lutemusic.org/composers/Blow/o_turn_not_those_fine_eyes_away/pdf/o_turn_not_those_fine_eyes_away_S.pdf,https://lutemusic.org/composers/Blow/o_turn_not_those_fine_eyes_away/midi/o_turn_not_those_fine_eyes_away_S.mid,1573937408,1586042063,"o tum not, turn not thosefine eyes away; o turn not, turn not thosefine eyes away; nor blush you gave me, nor blush you gave me that kind look: more than a thousand, a thousand, thousand of a glimpse or ray: from those two lights which make perpetual, which make perpetual, from those two lights, which make perpetual, perpetual day; from those two lights, which make perpetual, perpetual day: see, see, see, see, fair one, see, i'm looking now, i'm looking now another if i must not, if i must not see, i can be blind, blind for that moment you the favour, you the favour show, then see again, see, see again, to look on only you, then see again, see, see again to look on only you. come, think no more, no more on this surprise; come, think no more, no more on this surprise, but let your lover, but let your lover make his court; we've long been at this pretty, pretty, pretty, pretty, pretty glancing sport; now let our tongues, now let our tongues declare, declare, what this implies; 'tis time we cease, 'tis time we cease the tattle of our eyes; 'tis time we cease, 'tis time we cease the tattle of our eyes.",1115
65,"O Death, rock me asleep",,Ann Boleyn?,,GB-Lbl:British Library,Add. MS 17492,,1610,,Sarge Gerbode,Sarge Gerbode,,,,,"O Death, rock me asleep",,lute song,Dm,3.0,"8-course, alto",score,,,,https://lutemusic.org/composers/Boleyn/o_death_rock_me_asleep_mens.ft3,https://lutemusic.org/composers/Boleyn/pdf/o_death_rock_me_asleep_mens.pdf,https://lutemusic.org/composers/Boleyn/midi/o_death_rock_me_asleep_mens.mid,1573937408,1586042063,"o death, o death, rock me asleep, bring me pains, my pains, who can express? alas, lone, alone in prison strong i wail well, farewell, my pleasures past! welcome, to quiet rest; let pass my weary guiltless ghost they are so strong! my dolours will not suffer strength my destiny; woe worth this cruel hap that i my present pain! i feel my torment so increase out of my careful breast. toll on, thou my life for to prolong. toll on, thou must taste this misery! toll on, thou that life cannot remain. cease now, thou passing bell; ring out my doleful knell; passing bell; ring out my doleful knell; passing bell; ring out my doleful knell; passing bell; rung is my doleful knell; let thy sound my death tell, let thy let thy sound my death tell, let thy let thy sound my death tell, let thy for thou my death dost tell; lord, pisound my death tell, for i must die; sound my death tell, for i must die; sound my death tell, for i must die; ty thou my soul! death, death, draw nigh. there is no remedy, for now i die, there is no remedy, for now i die, there is no remedy, for now i die, sound my end dolefully, for now i die,",1123
81,Amor ch'attendi,,Giulio Caccini,,Giulio Caccini,Nuove Musiche,,1614,#29,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Amor ch'attendi,,lute song,GM,3.0,"8-course, soprano",score,,,,https://lutemusic.org/composers/Caccini/songs/amor-ch_attendi/amor_ch_attendi.ft3,https://lutemusic.org/composers/Caccini/songs/amor-ch_attendi/pdf/amor_ch_attendi.pdf,https://lutemusic.org/composers/Caccini/songs/amor-ch_attendi/midi/amor_ch_attendi.mid,1573937409,1586042063,"ove, what are you waiting for? love, what are you doing? ove, and hear what praises you will receive. hat arrogant heart now is languishing and sighing, ow, humble and pious, she asks for it. or it exceeds any other in power. ome on! why don't you use your arrows now at last? ighty love, gentle love, hat sharp face now moves to pity. hat will escape you if you set the ice on fire? ove, revenge! love, hit with your darts eople will say eventually she did burn with the fire of love -hose cruel eyes, turned to two rivers, rom the high heaven, jupiter throws thunderbolts, hat haughty heart that disdains your kingdom. hat cruel woman who, eager for moans o now pour out tears of love. pollo, the bowman of delos, rains darts, hat a noble victory if love hurts her; nd tears, scorns her lovers. f she, once cruel and wicked, denied mercy ut let the golden arrow be adorned with laurel,",887
119,12. Wand'ring in this place,,Michael Cavendish,,Michael Cavendish,14 Ayres in tablatorie,,1598,#12,Sarge Gerbode,Sarge Gerbode,,,,,Wandring in this place,,lute song,Gm,3.0,"6-course, soprano",score,,,,https://lutemusic.org/composers/Cavendish/songs/12_wandring_in_this_place/wandring_in_this_place.ft3,https://lutemusic.org/composers/Cavendish/songs/12_wandring_in_this_place/pdf/wandring_in_this_place.pdf,https://lutemusic.org/composers/Cavendish/songs/12_wandring_in_this_place/midi/wandring_in_this_place.mid,1573937412,1586042065,"wand'ring in this place as in a wilderness, as in a wilder ness, as in a wilderness, no comfort have i, nor yet assurance, wandring in this place as in a wilderness, as in a wilderness, as in a wilderness, no comfort have i, nor yet assurance, desolate of joy, desolate of joy, desolate of joy, desolate of joy, replete with sadness: wherefore i may say, o deus, deus, -",370
122,13. Every bush new springing,,Michael Cavendish,,Michael Cavendish,14 Ayres in tablatorie,,1598,#13,Sarge Gerbode,Sarge Gerbode,,,,,Every bush new springing,,lute song,CM,2.0,"6-course, alto",score,,,,https://lutemusic.org/composers/Cavendish/songs/13_every_bush_new_springing/every_bush_new_springing.ft3,https://lutemusic.org/composers/Cavendish/songs/13_every_bush_new_springing/pdf/every_bush_new_springing.pdf,https://lutemusic.org/composers/Cavendish/songs/13_every_bush_new_springing/midi/every_bush_new_springing.mid,1573937412,1586042065,"every bush new springing: every bird now pied, on whom his hope relied, down a down a down, down with a frown oh she",116
124,14. Down in a valley,,Michael Cavendish,,Michael Cavendish,14 Ayres in tablatorie,,1598,#14,Sarge Gerbode,Sarge Gerbode,,,,,Down in a valley,,lute song,FM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/composers/Cavendish/songs/14_down_in_a_valley/down_in_a_valley.ft3,https://lutemusic.org/composers/Cavendish/songs/14_down_in_a_valley/pdf/down_in_a_valley.pdf,https://lutemusic.org/composers/Cavendish/songs/14_down_in_a_valley/midi/down_in_a_valley.mid,1573937412,1586042065,"down in a valley, down in a valley, shady vales are pleasant ports, for merry, merry, merry, merry, merry lads' meet resorts. such was our hap to catch a of them we made a garland swain oh happy the valley oh happy the valley with green oh green was the valley oh green was the valley to flow'rs to spangle flora's train, nor did we crown fair lelia, shepherds' queen, fair as a dally, his flowr's we took all died in grain. oh died was the lilly, she sitting in a shade unseen. oh shady the valley, shady vales are pleasant ports for merry, merry,",548
126,Anchor che co'l partire,,Cipriano de Rore,,Cipriano de Rore,Source unknown,,1550,%7,Sarge Gerbode,Sarge Gerbode,,Dominic Schaner,,,Anchor che co'l partire,,lute song,Am,3.0,"8-course, alto",score,,,,https://lutemusic.org/composers/Cipriano_de_Rore/ancor_che_co_l_partire/ancor_che_col_partire.ft3,https://lutemusic.org/composers/Cipriano_de_Rore/ancor_che_co_l_partire/pdf/ancor_che_col_partire.pdf,https://lutemusic.org/composers/Cipriano_de_Rore/ancor_che_co_l_partire/midi/ancor_che_col_partire.mid,1573937412,1586042065,"bracketed notes put down an octave by editor. lthough in parting i feel i am dying, o great is the pleasure that i feel n the life i gain on my return; nd so thousands of thousands of times a day o sweet are my returns.",219
129,1. Oft thou hast,,John Coprario,,John Coprario,Funeral Teares,,1606,#1,Sarge Gerbode,Sarge Gerbode,,,,,1. Oft thou hast,,lute song,CM,3.0,"6-course, bass viol, alto, soprano",score,,,,https://lutemusic.org/composers/Coprario/funeral_tears/01_oft_thou_hast/01_oft_thou_hast_S.ft3,https://lutemusic.org/composers/Coprario/funeral_tears/01_oft_thou_hast/pdf/01_oft_thou_hast_S.pdf,https://lutemusic.org/composers/Coprario/funeral_tears/01_oft_thou_hast/midi/01_oft_thou_hast_S.mid,1573937412,1586042065,"oft then hast with greedy oft thou hast with greedy ear, with greedy ear, drunk my notes and words of pleasure, ear, drunk my notes and words of pleasure, in affection's equal measure; now my in affection's equal measure, now my songs, now my songs of sorrow hear. since from thee my griefs do songs of sorrow, sorrow hear. since from thee my griefs do grow, whom alive i priz'd so dear: the more my joy, the grow, whom alive i priz'd so dear: the more my joy, the more more my joy, the more, the more my woe. my joy, the more my woe, the more my woe. music, though it sweetens music, though it sweetens pain, it sweetens pain, yet no whit impairs lamenting: pain, yet it whit impairs lamenting: but in passions like consenting, makes them but in passions like consenting makes them constant, constant that complain: and enchants their fancies makes them constant that complain: and enchants their fancies so that all comforts they disdain, and fly from joy, and so, that all comforts they disdain, and fly from joy, and fly fly from joy to dwell, to dwell with woe. from joy to dwell with woe, to dwell with woe.",1113
135,3. O the unsure hopes,,John Coprario,,John Coprario,Funeral Teares,,1606,#3,Sarge Gerbode,Sarge Gerbode,,,,,3. O the unsure hopes,,lute song,CM,2.0,"6-course, bass viol, alto, soprano",score,,,,https://lutemusic.org/composers/Coprario/funeral_tears/03_o_the_unsure_hopes/03_o_the_unsure_hopes_S.ft3,https://lutemusic.org/composers/Coprario/funeral_tears/03_o_the_unsure_hopes/pdf/03_o_the_unsure_hopes_S.pdf,https://lutemusic.org/composers/Coprario/funeral_tears/03_o_the_unsure_hopes/midi/03_o_the_unsure_hopes_S.mid,1573937412,1586042065,"o, o th'unsure hopes of men! o the unsure hopes of men! the brittle state, the vain contentions that unluckithe brittle state, the vain contentions that unly, oft in midst of the race, oft in midst luckily, oft in midst of the race, oft of the race fall ruinate. and in their in midst of the race fall ruinate. and in their course long overwhelmed be, and course long overwhelmed be, and swallow'd up ere they the port could see. swallow'd up ere they, ere they the port could see. o women's fruitless love! o women's fruitless love! unquiet state! too dear affections, that despitefulunquiet state! too dear affections, that dely, e'en in their height of bliss, e'en in their spitefully, e'en in their height of bliss, e'en height of bliss prove desolate! and often in their height of bliss prove desolate! and often fall far from all hope of joy, ere fall far from all hope of joy, ere they have time to dream on their annoy. they have time to dream, to dream on their annoy.",977
138,4. In darkness let me dwell,,John Coprario,,John Coprario,Funeral Teares,,1606,#4,Sarge Gerbode,Sarge Gerbode,,,,,4. In darkness let me dwell,,lute song,Am,3.0,"6-course, bass viol, alto, soprano",score,,,,https://lutemusic.org/composers/Coprario/funeral_tears/04_in_darkness_let_me_dwell/04_in_darkness_let_me_dwell_S.ft3,https://lutemusic.org/composers/Coprario/funeral_tears/04_in_darkness_let_me_dwell/pdf/04_in_darkness_let_me_dwell_S.pdf,https://lutemusic.org/composers/Coprario/funeral_tears/04_in_darkness_let_me_dwell/midi/04_in_darkness_let_me_dwell_S.mid,1573937412,1586042065,"in darkness let me dwell; the ground shall in darkness let me dwell; the ground, the sorrow, sorrow be, the roof despair, to bar all ground shall sorrow be, the roof despair, to bar all cheerful light from me; the walls of marble black, cheerful light from me, from me; the walls of marthat moist'ned still shall weep; my music, my music, hellble black that moist'ned still shall weep; my music, hellish jarish, jarring sounds, to banish friendly sleep. thus, wedring sounds, to banish friendly sleep. thus, wedded ded to my woes, and bedded to my tomb, to my woes, and bedded to my tomb, and bedded to my tomb, o thus, my hapless joy, o thus, my hapless joy, o thus, my dying live, till death doth come, till death do come. me dying live, till death doth come, till death doth come. my dainties grief shall be, and tears my my dainties grief shall be, and tears, and poison'd, poison'd wine, my sighs the air, through which my tears my poison'd wine, my sighs the air, through which my panting heart shall pine; my robes my mind shall suit panting heart shall pine: my robes my mind shall suit, exceeding blackest night, my study, my study shall shall suit exceeding blackest night, my study shall be trabe tragic thoughts, sad fancy to delight. pale ghosts gic thoughts, sad fancy to delight. pale, pale ghosts and frightful shades shall my acquaintance be; and frightful shades shall my acquaintance be, shall my acquaintance be: o thus, o thus, my hapless joy, o thus, thus my hapless joy, i haste to thee i haste to thee.  hapless joy, i haste to thee, i haste to thee.",1574
141,5. My joy is dead,,John Coprario,,John Coprario,Funeral Teares,,1606,#5,Sarge Gerbode,Sarge Gerbode,,,,,5. My joy is dead,,lute song,Gm,3.0,"6-course, bass viol, alto, soprano",score,,,,https://lutemusic.org/composers/Coprario/funeral_tears/05_my_joy_is_dead/05_my_joy_is_dead_S.ft3,https://lutemusic.org/composers/Coprario/funeral_tears/05_my_joy_is_dead/pdf/05_my_joy_is_dead_S.pdf,https://lutemusic.org/composers/Coprario/funeral_tears/05_my_joy_is_dead/midi/05_my_joy_is_dead_S.mid,1573937412,1586042065,"my joy is dead and cannot be reviv'd; fled my joy is dead, is dead and cannot be reviv'd; fled is my joy and never may return; both of my joy and is my joy and never may return; both of my joy and of myself depriv'd, far from all joy i passions shall enforce, beyond their kind, and to comto compassion move. my grief shall wonders work, my passion move. my grief shall wonders work, my that caus'd my sorrows, and these tears doth owe. that caus'd my sorrows, and these tears doth owe. rude flinty breasts, that never felt remorse; hard rude flinty, flinty breasts, that never felt remorse; hard craggy rocks, that death and ruin love; these, only these my craggy rocks, that death and ruin love; these, only these my passions shall enforce, beyond their kind, and sing, and singing mourn. o let no tender heart, o singing mourn. o let no tender heart, o partake my passions or my plainings hear. partake my passions or my plainings hear.",939
